a00	A00 - Kolera
x23	X23 - Kontakt med bålgetingar, getingar och bin
x2300	X23.00 - Kontakt med bålgetingar, getingar och bin-bostad-idrott
x2301	X23.01 - Kontakt med bålgetingar, getingar och bin-bostad-lek,fritid
x2302	X23.02 - Kontakt med bålgetingar, getingar och bin-bostad-förvärvsarbete
x2303	X23.03 - Kontakt med bålgetingar, getingar och bin-bostad-annan sysselsättning
x2304	X23.04 - Kontakt med bålgetingar, getingar och bin-bostad-vitalaktivitet
x2308	X23.08 - Kontakt med bålgetingar, getingar och bin-bostad-andra aktiviteter
x2309	X23.09 - Kontakt med bålgetingar, getingar och bin-bostad-ospec aktiviteter
x2310	X23.10 - Kontakt med bålgetingar, getingar och bin-institutionellt boende-idrott
x2311	X23.11 - Kontakt med bålgetingar, getingar och bin-institutionellt boende-lek,fritid
x2312	X23.12 - Kontakt med bålgetingar, getingar och bin-institutionellt boende-förvärvsarbete
x2313	X23.13 - Kontakt med bålgetingar, getingar och bin-institutionellt boende-annan sysselsättning
x2314	X23.14 - Kontakt med bålgetingar, getingar och bin-institutionellt boende-vitalaktivitet
x2318	X23.18 - Kontakt med bålgetingar, getingar och bin-institutionellt boende-andra aktiviteter
x2319	X23.19 - Kontakt med bålgetingar, getingar och bin-institutionellt boende-ospec aktiviteter
x2320	X23.20 - Kontakt med bålgetingar, getingar och bin-skola, offentlig lokal-idrott
x2321	X23.21 - Kontakt med bålgetingar, getingar och bin-skola, offentlig lokal-lek,fritid
x2322	X23.22 - Kontakt med bålgetingar, getingar och bin-skola, offentlig lokal-förvärvsarbete
x2323	X23.23 - Kontakt med bålgetingar, getingar och bin-skola, offentlig lokal-annan sysselsättning
x2324	X23.24 - Kontakt med bålgetingar, getingar och bin-skola, offentlig lokal-vitalaktivitet
x2328	X23.28 - Kontakt med bålgetingar, getingar och bin-skola, offentlig lokal-andra aktiviteter
x2329	X23.29 - Kontakt med bålgetingar, getingar och bin-skola, offentlig lokal-ospec aktiviteter
x2330	X23.30 - Kontakt med bålgetingar, getingar och bin-idrottsanläggning-idrott
x2331	X23.31 - Kontakt med bålgetingar, getingar och bin-idrottsanläggning-lek,fritid
x2332	X23.32 - Kontakt med bålgetingar, getingar och bin-idrottsanläggning-förvärvsarbete
x2333	X23.33 - Kontakt med bålgetingar, getingar och bin-idrottsanläggning-annan sysselsättning
x2334	X23.34 - Kontakt med bålgetingar, getingar och bin-idrottsanläggning-vitalaktivitet
x2338	X23.38 - Kontakt med bålgetingar, getingar och bin-idrottsanläggning-andra aktiviteter
x2339	X23.39 - Kontakt med bålgetingar, getingar och bin-idrottsanläggning-ospec aktiviteter
x2340	X23.40 - Kontakt med bålgetingar, getingar och bin-gata-idrott
x2341	X23.41 - Kontakt med bålgetingar, getingar och bin-gata-lek,fritid
x2342	X23.42 - Kontakt med bålgetingar, getingar och bin-gata-förvärvsarbete
x2343	X23.43 - Kontakt med bålgetingar, getingar och bin-gata-annan sysselsättning
x2344	X23.44 - Kontakt med bålgetingar, getingar och bin-gata-vitalaktivitet
x2348	X23.48 - Kontakt med bålgetingar, getingar och bin-gata-andra aktiviteter
x2349	X23.49 - Kontakt med bålgetingar, getingar och bin-gata-ospec aktiviteter
x2350	X23.50 - Kontakt med bålgetingar, getingar och bin-serviceområde-idrott
x2351	X23.51 - Kontakt med bålgetingar, getingar och bin-serviceområde-lek,fritid
x2352	X23.52 - Kontakt med bålgetingar, getingar och bin-serviceområde-förvärvsarbete
x2353	X23.53 - Kontakt med bålgetingar, getingar och bin-serviceområde-annan sysselsättning
x2354	X23.54 - Kontakt med bålgetingar, getingar och bin-serviceområde-vitalaktivitet
x2358	X23.58 - Kontakt med bålgetingar, getingar och bin-serviceområde-andra aktiviteter
x2359	X23.59 - Kontakt med bålgetingar, getingar och bin-serviceområde-ospec aktiviteter
x2360	X23.60 - Kontakt med bålgetingar, getingar och bin-industriområde-idrott
x2361	X23.61 - Kontakt med bålgetingar, getingar och bin-industriområde-lek,fritid
x2362	X23.62 - Kontakt med bålgetingar, getingar och bin-industriområde-förvärvsarbete
x2363	X23.63 - Kontakt med bålgetingar, getingar och bin-industriområde-annan sysselsättning
x2364	X23.64 - Kontakt med bålgetingar, getingar och bin-industriområde-vitalaktivitet
x2368	X23.68 - Kontakt med bålgetingar, getingar och bin-industriområde-andra aktiviteter
x2369	X23.69 - Kontakt med bålgetingar, getingar och bin-industriområde-ospec aktiviteter
x2370	X23.70 - Kontakt med bålgetingar, getingar och bin-lantbruksområde-idrott
x2371	X23.71 - Kontakt med bålgetingar, getingar och bin-lantbruksområde-lek,fritid
x2372	X23.72 - Kontakt med bålgetingar, getingar och bin-lantbruksområde-förvärvsarbete
x2373	X23.73 - Kontakt med bålgetingar, getingar och bin-lantbruksområde-annan sysselsättning
x2374	X23.74 - Kontakt med bålgetingar, getingar och bin-lantbruksområde-vitalaktivitet
x2378	X23.78 - Kontakt med bålgetingar, getingar och bin-lantbruksområde-andra aktiviteter
x2379	X23.79 - Kontakt med bålgetingar, getingar och bin-lantbruksområde-ospec aktiviteter
x2380	X23.80 - Kontakt med bålgetingar, getingar och bin-andra områden-idrott
x2381	X23.81 - Kontakt med bålgetingar, getingar och bin-andra områden-lek,fritid
x2382	X23.82 - Kontakt med bålgetingar, getingar och bin-andra områden-förvärvsarbete
x2383	X23.83 - Kontakt med bålgetingar, getingar och bin-andra områden-annan sysselsättning
x2384	X23.84 - Kontakt med bålgetingar, getingar och bin-andra områden-vitalaktivitet
x2388	X23.88 - Kontakt med bålgetingar, getingar och bin-andra områden-andra aktiviteter
x2389	X23.89 - Kontakt med bålgetingar, getingar och bin-andra områden-ospec aktiviteter
x2390	X23.90 - Kontakt med bålgetingar, getingar och bin-ospec område-idrott
x2391	X23.91 - Kontakt med bålgetingar, getingar och bin-ospec område-lek,fritid
x2392	X23.92 - Kontakt med bålgetingar, getingar och bin-ospec område-förvärvsarbete
x2393	X23.93 - Kontakt med bålgetingar, getingar och bin-ospec område-annan sysselsättning
x2394	X23.94 - Kontakt med bålgetingar, getingar och bin-ospec område-vitalaktivitet
x2398	X23.98 - Kontakt med bålgetingar, getingar och bin-ospec område-andra aktiviteter
x2399	X23.99 - Kontakt med bålgetingar, getingar och bin-ospec område-ospec aktiviteter
x24	X24 - Kontakt med giftiga tusenfotingar (tropiska)
x2400	X24.00 - Kontakt med giftiga tusenfotingar-bostad-idrott
x2401	X24.01 - Kontakt med giftiga tusenfotingar-bostad-lek,fritid
x2402	X24.02 - Kontakt med giftiga tusenfotingar-bostad-förvärvsarbete
x2403	X24.03 - Kontakt med giftiga tusenfotingar-bostad-annan sysselsättning
x2404	X24.04 - Kontakt med giftiga tusenfotingar-bostad-vitalaktivitet
x2408	X24.08 - Kontakt med giftiga tusenfotingar-bostad-andra aktiviteter
x2409	X24.09 - Kontakt med giftiga tusenfotingar-bostad-ospec aktiviteter
x2410	X24.10 - Kontakt med giftiga tusenfotingar-institutionellt boende-idrott
x2411	X24.11 - Kontakt med giftiga tusenfotingar-institutionellt boende-lek,fritid
x2412	X24.12 - Kontakt med giftiga tusenfotingar-institutionellt boende-förvärvsarbete
x2413	X24.13 - Kontakt med giftiga tusenfotingar-institutionellt boende-annan sysselsättning
x2414	X24.14 - Kontakt med giftiga tusenfotingar-institutionellt boende-vitalaktivitet
x2418	X24.18 - Kontakt med giftiga tusenfotingar-institutionellt boende-andra aktiviteter
x2419	X24.19 - Kontakt med giftiga tusenfotingar-institutionellt boende-ospec aktiviteter
x2420	X24.20 - Kontakt med giftiga tusenfotingar-skola, offentlig lokal-idrott
x2421	X24.21 - Kontakt med giftiga tusenfotingar-skola, offentlig lokal-lek,fritid
x2422	X24.22 - Kontakt med giftiga tusenfotingar-skola, offentlig lokal-förvärvsarbete
x2423	X24.23 - Kontakt med giftiga tusenfotingar-skola, offentlig lokal-annan sysselsättning
x2424	X24.24 - Kontakt med giftiga tusenfotingar-skola, offentlig lokal-vitalaktivitet
x2428	X24.28 - Kontakt med giftiga tusenfotingar-skola, offentlig lokal-andra aktiviteter
x2429	X24.29 - Kontakt med giftiga tusenfotingar-skola, offentlig lokal-ospec aktiviteter
x2430	X24.30 - Kontakt med giftiga tusenfotingar-idrottsanläggning-idrott
x2431	X24.31 - Kontakt med giftiga tusenfotingar-idrottsanläggning-lek,fritid
x2432	X24.32 - Kontakt med giftiga tusenfotingar-idrottsanläggning-förvärvsarbete
x2433	X24.33 - Kontakt med giftiga tusenfotingar-idrottsanläggning-annan sysselsättning
x2434	X24.34 - Kontakt med giftiga tusenfotingar-idrottsanläggning-vitalaktivitet
x2438	X24.38 - Kontakt med giftiga tusenfotingar-idrottsanläggning-andra aktiviteter
x2439	X24.39 - Kontakt med giftiga tusenfotingar-idrottsanläggning-ospec aktiviteter
x2440	X24.40 - Kontakt med giftiga tusenfotingar-gata-idrott
x2441	X24.41 - Kontakt med giftiga tusenfotingar-gata-lek,fritid
x2442	X24.42 - Kontakt med giftiga tusenfotingar-gata-förvärvsarbete
x2443	X24.43 - Kontakt med giftiga tusenfotingar-gata-annan sysselsättning
x2444	X24.44 - Kontakt med giftiga tusenfotingar-gata-vitalaktivitet
x2448	X24.48 - Kontakt med giftiga tusenfotingar-gata-andra aktiviteter
x2449	X24.49 - Kontakt med giftiga tusenfotingar-gata-ospec aktiviteter
x2450	X24.50 - Kontakt med giftiga tusenfotingar-serviceområde-idrott
x2451	X24.51 - Kontakt med giftiga tusenfotingar-serviceområde-lek,fritid
x2452	X24.52 - Kontakt med giftiga tusenfotingar-serviceområde-förvärvsarbete
x2453	X24.53 - Kontakt med giftiga tusenfotingar-serviceområde-annan sysselsättning
x2454	X24.54 - Kontakt med giftiga tusenfotingar-serviceområde-vitalaktivitet
x2458	X24.58 - Kontakt med giftiga tusenfotingar-serviceområde-andra aktiviteter
x2459	X24.59 - Kontakt med giftiga tusenfotingar-serviceområde-ospec aktivitet
x2460	X24.60 - Kontakt med giftiga tusenfotingar-industriområde-idrott
x2461	X24.61 - Kontakt med giftiga tusenfotingar-industriområde-lek,fritid
x2462	X24.62 - Kontakt med giftiga tusenfotingar-industriområde-förvärvsarbete
x2463	X24.63 - Kontakt med giftiga tusenfotingar-industriområde-annan sysselsättning
x2464	X24.64 - Kontakt med giftiga tusenfotingar-industriområde-vitalaktivitet
x2468	X24.68 - Kontakt med giftiga tusenfotingar-industriområde-andra aktiviteter
x2469	X24.69 - Kontakt med giftiga tusenfotingar-industriområde-ospec aktiviteter
x2470	X24.70 - Kontakt med giftiga tusenfotingar-lantbruksområde-idrott
x2471	X24.71 - Kontakt med giftiga tusenfotingar-lantbruksområde-lek,fritid
x2472	X24.72 - Kontakt med giftiga tusenfotingar-lantbruksområde-förvärvsarbete
x2473	X24.73 - Kontakt med giftiga tusenfotingar-lantbruksområde-annan sysselsättning
x2474	X24.74 - Kontakt med giftiga tusenfotingar-lantbruksområde-vitalaktivitet
x2478	X24.78 - Kontakt med giftiga tusenfotingar-lantbruksområde-andra aktiviteter
x2479	X24.79 - Kontakt med giftiga tusenfotingar-lantbruksområde-ospec aktiviteter
x2480	X24.80 - Kontakt med giftiga tusenfotingar-andra områden-idrott
x2481	X24.81 - Kontakt med giftiga tusenfotingar-andra områden-lek,fritid
x2482	X24.82 - Kontakt med giftiga tusenfotingar-andra områden-förvärvsarbete
x2483	X24.83 - Kontakt med giftiga tusenfotingar-andra områden-annan sysselsättning
x2484	X24.84 - Kontakt med giftiga tusenfotingar-andra områden-vitalaktivitet
x2488	X24.88 - Kontakt med giftiga tusenfotingar-andra områden-andra aktiviteter
x2489	X24.89 - Kontakt med giftiga tusenfotingar-andra områden-ospec aktiviteter
x2490	X24.90 - Kontakt med giftiga tusenfotingar-ospec område-idrott
x2491	X24.91 - Kontakt med giftiga tusenfotingar-ospec område-lek,fritid
x2492	X24.92 - Kontakt med giftiga tusenfotingar-ospec område-förvärvsarbete
x2493	X24.93 - Kontakt med giftiga tusenfotingar-ospec område-annan sysselsättning
x2494	X24.94 - Kontakt med giftiga tusenfotingar-ospec område-vitalaktivitet
x2498	X24.98 - Kontakt med giftiga tusenfotingar-ospec område-andra aktiviteter
x2499	X24.99 - Kontakt med giftiga tusenfotingar-ospec område-ospec aktiviteter
x25	X25 - Kontakt med andra giftiga leddjur
x2500	X25.00 - Kontakt med andra giftiga leddjur-bostad-idrott
x2501	X25.01 - Kontakt med andra giftiga leddjur-bostad-lek,fritid
x2502	X25.02 - Kontakt med andra giftiga leddjur-bostad-förvärvsarbete
x2503	X25.03 - Kontakt med andra giftiga leddjur-bostad-annan sysselsättning
x2504	X25.04 - Kontakt med andra giftiga leddjur-bostad-vitalaktivitet
x2508	X25.08 - Kontakt med andra giftiga leddjur-bostad-andra aktiviteter
x2509	X25.09 - Kontakt med andra giftiga leddjur-bostad-ospec aktiviteter
x2510	X25.10 - Kontakt med andra giftiga leddjur-institutionellt boende-idrott
x2511	X25.11 - Kontakt med andra giftiga leddjur-institutionellt boende-lek,fritid
x2512	X25.12 - Kontakt med andra giftiga leddjur-institutionellt boende-förvärvsarbete
x2513	X25.13 - Kontakt med andra giftiga leddjur-institutionellt boende-annan sysselsättning
x2514	X25.14 - Kontakt med andra giftiga leddjur-institutionellt boende-vitalaktivitet
x2518	X25.18 - Kontakt med andra giftiga leddjur-institutionellt boende-andra aktiviteter
x2519	X25.19 - Kontakt med andra giftiga leddjur-institutionellt boende-ospec aktiviteter
x2520	X25.20 - Kontakt med andra giftiga leddjur-skola, offentlig lokal-idrott
x2521	X25.21 - Kontakt med andra giftiga leddjur-skola, offentlig lokal-lek,fritid
x2522	X25.22 - Kontakt med andra giftiga leddjur-skola, offentlig lokal-förvärvsarbete
x2523	X25.23 - Kontakt med andra giftiga leddjur-skola, offentlig lokal-annan sysselsättning
x2524	X25.24 - Kontakt med andra giftiga leddjur-skola, offentlig lokal-vitalaktivitet
x2528	X25.28 - Kontakt med andra giftiga leddjur-skola, offentlig lokal-andra aktiviteter
x2529	X25.29 - Kontakt med andra giftiga leddjur-skola, offentlig lokal-ospec aktiviteter
x2530	X25.30 - Kontakt med andra giftiga leddjur-idrottsanläggning-idrott
x2531	X25.31 - Kontakt med andra giftiga leddjur-idrottsanläggning-lek,fritid
x2532	X25.32 - Kontakt med andra giftiga leddjur-idrottsanläggning-förvärvsarbete
x2533	X25.33 - Kontakt med andra giftiga leddjur-idrottsanläggning-annan sysselsättning
x2534	X25.34 - Kontakt med andra giftiga leddjur-idrottsanläggning-vitalaktivitet
x2538	X25.38 - Kontakt med andra giftiga leddjur-idrottsanläggning-andra aktiviteter
x2539	X25.39 - Kontakt med andra giftiga leddjur-idrottsanläggning-ospec aktiviteter
x2540	X25.40 - Kontakt med andra giftiga leddjur-gata-idrott
x2541	X25.41 - Kontakt med andra giftiga leddjur-gata-lek,fritid
x2542	X25.42 - Kontakt med andra giftiga leddjur-gata-förvärvsarbete
x2543	X25.43 - Kontakt med andra giftiga leddjur-gata-annan sysselsättning
x2544	X25.44 - Kontakt med andra giftiga leddjur-gata-vitalaktivitet
x2548	X25.48 - Kontakt med andra giftiga leddjur-gata-andra aktiviteter
x2549	X25.49 - Kontakt med andra giftiga leddjur-gata-ospec aktiviteter
x2550	X25.50 - Kontakt med andra giftiga leddjur-serviceområde-idrott
x2551	X25.51 - Kontakt med andra giftiga leddjur-serviceområde-lek,fritid
x2552	X25.52 - Kontakt med andra giftiga leddjur-serviceområde-förvärvsarbete
x2553	X25.53 - Kontakt med andra giftiga leddjur-serviceområde-annan sysselsättning
x2554	X25.54 - Kontakt med andra giftiga leddjur-serviceområde-vitalaktivitet
x2558	X25.58 - Kontakt med andra giftiga leddjur-serviceområde-andra aktiviteter
x2559	X25.59 - Kontakt med andra giftiga leddjur-serviceområde-ospec aktiviteter
x2560	X25.60 - Kontakt med andra giftiga leddjur-industriområde-idrott
x2561	X25.61 - Kontakt med andra giftiga leddjur-industriområde-lek,fritid
x2562	X25.62 - Kontakt med andra giftiga leddjur-industriområde-förvärvsarbete
x2563	X25.63 - Kontakt med andra giftiga leddjur-industriområde-annan sysselsättning
x2564	X25.64 - Kontakt med andra giftiga leddjur-industriområde-vitalaktivitet
x2568	X25.68 - Kontakt med andra giftiga leddjur-industriområde-andra aktiviteter
x2569	X25.69 - Kontakt med andra giftiga leddjur-industriområde-ospec aktiviteter
x2570	X25.70 - Kontakt med andra giftiga leddjur-lantbruksområde-idrott
x2571	X25.71 - Kontakt med andra giftiga leddjur-lantbruksområde-lek,fritid
x2572	X25.72 - Kontakt med andra giftiga leddjur-lantbruksområde-förvärvsarbete
x2573	X25.73 - Kontakt med andra giftiga leddjur-lantbruksområde-annan sysselsättning
x2574	X25.74 - Kontakt med andra giftiga leddjur-lantbruksområde-vitalaktivitet
x2578	X25.78 - Kontakt med andra giftiga leddjur-lantbruksområde-andra aktiviteter
x2579	X25.79 - Kontakt med andra giftiga leddjur-lantbruksområde-ospec aktiviteter
x2580	X25.80 - Kontakt med andra giftiga leddjur-andra områden-idrott
x2581	X25.81 - Kontakt med andra giftiga leddjur-andra områden-lek,fritid
x2582	X25.82 - Kontakt med andra giftiga leddjur-andra områden-förvärvsarbete
x2583	X25.83 - Kontakt med andra giftiga leddjur-andra områden-annan sysselsättning
x2584	X25.84 - Kontakt med andra giftiga leddjur-andra områden-vitalaktivitet
x2588	X25.88 - Kontakt med andra giftiga leddjur-andra områden-andra aktiviteter
x2589	X25.89 - Kontakt med andra giftiga leddjur-andra områden-ospec aktiviteter
x2590	X25.90 - Kontakt med andra giftiga leddjur-ospec område-idrott
x2591	X25.91 - Kontakt med andra giftiga leddjur-ospec område-lek,fritid
x2592	X25.92 - Kontakt med andra giftiga leddjur-ospec område-förvärvsarbete
x2593	X25.93 - Kontakt med andra giftiga leddjur-ospec område-annan sysselsättning
x2594	X25.94 - Kontakt med andra giftiga leddjur-ospec område-vitalaktivitet
x2598	X25.98 - Kontakt med andra giftiga leddjur-ospec område-andra aktiviteter
x2599	X25.99 - Kontakt med andra giftiga leddjur-ospec område-ospec aktiviteter
x26	X26 - Kontakt med giftiga vattendjur och vattenväxter
x2600	X26.00 - Kontakt med giftiga vattendjur och vattenväxter-bostad-idrott
x2601	X26.01 - Kontakt med giftiga vattendjur och vattenväxter-bostad-lek,fritid
x2602	X26.02 - Kontakt med giftiga vattendjur och vattenväxter-bostad-förvärvsarbete
x2603	X26.03 - Kontakt med giftiga vattendjur och vattenväxter-bostad-annan sysselsättning
x2604	X26.04 - Kontakt med giftiga vattendjur och vattenväxter-bostad-vitalaktivitet
x2608	X26.08 - Kontakt med giftiga vattendjur och vattenväxter-bostad-andra aktiviteter
x2609	X26.09 - Kontakt med giftiga vattendjur och vattenväxter-bostad-ospec aktiviteter
x2610	X26.10 - Kontakt med giftiga vattendjur och vattenväxter-institutionellt boende-idrott
x2611	X26.11 - Kontakt med giftiga vattendjur och vattenväxter-institutionellt boende-lek,fritid
x2612	X26.12 - Kontakt med giftiga vattendjur och vattenväxter-institutionellt boende-förvärvsarbete
x2613	X26.13 - Kontakt med giftiga vattendjur och vattenväxter-institutionellt boende-annan sysselsättning
x2614	X26.14 - Kontakt med giftiga vattendjur och vattenväxter-institutionellt boende-vitalaktivitet
x2618	X26.18 - Kontakt med giftiga vattendjur och vattenväxter-institutionellt boende-andra aktiviteter
x2619	X26.19 - Kontakt med giftiga vattendjur och vattenväxter-institutionellt boende-ospec aktiviteter
x2620	X26.20 - Kontakt med giftiga vattendjur och vattenväxter-skola, offentlig lokal-idrott
x2621	X26.21 - Kontakt med giftiga vattendjur och vattenväxter-skola, offentlig lokal-lek,fritid
x2622	X26.22 - Kontakt med giftiga vattendjur och vattenväxter-skola, offentlig lokal-förvärvsarbete
x2623	X26.23 - Kontakt med giftiga vattendjur och vattenväxter-skola, offentlig lokal-annan sysselsättning
x2624	X26.24 - Kontakt med giftiga vattendjur och vattenväxter-skola, offentlig lokal-vitalaktivitet
x2628	X26.28 - Kontakt med giftiga vattendjur och vattenväxter-skola, offentlig lokal-andra aktiviteter
x2629	X26.29 - Kontakt med giftiga vattendjur och vattenväxter-skola, offentlig lokal-ospec aktiviteter
x2630	X26.30 - Kontakt med giftiga vattendjur och vattenväxter-idrottsanläggning-idrott
x2631	X26.31 - Kontakt med giftiga vattendjur och vattenväxter-idrottsanläggning-lek,fritid
x2632	X26.32 - Kontakt med giftiga vattendjur och vattenväxter-idrottsanläggning-förvärvsarbete
x2633	X26.33 - Kontakt med giftiga vattendjur och vattenväxter-idrottsanläggning-annan sysselsättning
x2634	X26.34 - Kontakt med giftiga vattendjur och vattenväxter-idrottsanläggning-vitalaktivitet
x2638	X26.38 - Kontakt med giftiga vattendjur och vattenväxter-idrottsanläggning-andra aktiviteter
x2639	X26.39 - Kontakt med giftiga vattendjur och vattenväxter-idrottsanläggning-ospec aktiviteter
x2640	X26.40 - Kontakt med giftiga vattendjur och vattenväxter-gata-idrott
x2641	X26.41 - Kontakt med giftiga vattendjur och vattenväxter-gata-lek,fritid
x2642	X26.42 - Kontakt med giftiga vattendjur och vattenväxter-gata-förvärvsarbete
x2643	X26.43 - Kontakt med giftiga vattendjur och vattenväxter-gata-annan sysselsättning
x2644	X26.44 - Kontakt med giftiga vattendjur och vattenväxter-gata-vitalaktivitet
x2648	X26.48 - Kontakt med giftiga vattendjur och vattenväxter-gata-andra aktiviteter
x2649	X26.49 - Kontakt med giftiga vattendjur och vattenväxter-gata-ospec aktiviteter
x2650	X26.50 - Kontakt med giftiga vattendjur och vattenväxter-serviceområde-idrott
x2651	X26.51 - Kontakt med giftiga vattendjur och vattenväxter-serviceområde-lek,fritid
x2652	X26.52 - Kontakt med giftiga vattendjur och vattenväxter-serviceområde-förvärvsarbete
x2653	X26.53 - Kontakt med giftiga vattendjur och vattenväxter-serviceområde-annan sysselsättning
x2654	X26.54 - Kontakt med giftiga vattendjur och vattenväxter-serviceområde-vitalaktivitet
x2658	X26.58 - Kontakt med giftiga vattendjur och vattenväxter-serviceområde-andra aktiviteter
x2659	X26.59 - Kontakt med giftiga vattendjur och vattenväxter-serviceområde-ospec aktiviteter
x2660	X26.60 - Kontakt med giftiga vattendjur och vattenväxter-industriområde-idrott
x2661	X26.61 - Kontakt med giftiga vattendjur och vattenväxter-industriområde-lek,fritid
x2662	X26.62 - Kontakt med giftiga vattendjur och vattenväxter-industriområde-förvärvsarbete
x2663	X26.63 - Kontakt med giftiga vattendjur och vattenväxter-industriområde-annan sysselsättning
x2664	X26.64 - Kontakt med giftiga vattendjur och vattenväxter-industriområde-vitalaktivitet
x2668	X26.68 - Kontakt med giftiga vattendjur och vattenväxter-industriområde-andra aktiviteter
x2669	X26.69 - Kontakt med giftiga vattendjur och vattenväxter-industriområde-ospec aktiviteter
x2670	X26.70 - Kontakt med giftiga vattendjur och vattenväxter-lantbruksområde-idrott
x2671	X26.71 - Kontakt med giftiga vattendjur och vattenväxter-lantbruksområde-lek,fritid
x2672	X26.72 - Kontakt med giftiga vattendjur och vattenväxter-lantbruksområde-förvärvsarbete
x2673	X26.73 - Kontakt med giftiga vattendjur och vattenväxter-lantbruksområde-annan sysselsättning
x2674	X26.74 - Kontakt med giftiga vattendjur och vattenväxter-lantbruksområde-vitalaktivitet
x2678	X26.78 - Kontakt med giftiga vattendjur och vattenväxter-lantbruksområde-andra aktiviteter
x2679	X26.79 - Kontakt med giftiga vattendjur och vattenväxter-lantbruksområde-ospec aktiviteter
x2680	X26.80 - Kontakt med giftiga vattendjur och vattenväxter-andra områden-idrott
x2681	X26.81 - Kontakt med giftiga vattendjur och vattenväxter-andra områden-lek,fritid
x2682	X26.82 - Kontakt med giftiga vattendjur och vattenväxter-andra områden-förvärvsarbete
x2683	X26.83 - Kontakt med giftiga vattendjur och vattenväxter-andra områden-annan sysselsättning
x2684	X26.84 - Kontakt med giftiga vattendjur och vattenväxter-andra områden-vitalaktivitet
x2688	X26.88 - Kontakt med giftiga vattendjur och vattenväxter-andra områden-andra aktiviteter
x2689	X26.89 - Kontakt med giftiga vattendjur och vattenväxter-andra områden-ospec aktiviteter
x2690	X26.90 - Kontakt med giftiga vattendjur och vattenväxter-ospec område-idrott
x2691	X26.91 - Kontakt med giftiga vattendjur och vattenväxter-ospec område-lek,fritid
x2692	X26.92 - Kontakt med giftiga vattendjur och vattenväxter-ospec område-förvärvsarbete
x2693	X26.93 - Kontakt med giftiga vattendjur och vattenväxter-ospec område-annan sysselsättning
x2694	X26.94 - Kontakt med giftiga vattendjur och vattenväxter-ospec område-vitalaktivitet
x2698	X26.98 - Kontakt med giftiga vattendjur och vattenväxter-ospec område-andra aktiviteter
x2699	X26.99 - Kontakt med giftiga vattendjur och vattenväxter-ospec område-ospec aktiviteter
x27	X27 - Kontakt med andra specificerade giftiga djur
x2700	X27.00 - Kontakt med andra specificerade giftiga djur-bostad-idrott
x2701	X27.01 - Kontakt med andra specificerade giftiga djur-bostad-lek,fritid
x2702	X27.02 - Kontakt med andra specificerade giftiga djur-bostad-förvärvsarbete
x2703	X27.03 - Kontakt med andra specificerade giftiga djur-bostad-annan sysselsättning
x2704	X27.04 - Kontakt med andra specificerade giftiga djur-bostad-vitalaktivitet
x2708	X27.08 - Kontakt med andra specificerade giftiga djur-bostad-andra aktiviteter
x2709	X27.09 - Kontakt med andra specificerade giftiga djur-bostad-ospec aktiviteter
x2710	X27.10 - Kontakt med andra specificerade giftiga djur-institutionellt boende-idrott
x2711	X27.11 - Kontakt med andra specificerade giftiga djur-institutionellt boende-lek,fritid
x2712	X27.12 - Kontakt med andra specificerade giftiga djur-institutionellt boende-förvärvsarbete
x2713	X27.13 - Kontakt med andra specificerade giftiga djur-institutionellt boende-annan sysselsättning
x2714	X27.14 - Kontakt med andra specificerade giftiga djur-institutionellt boende-vitalaktivitet
x2718	X27.18 - Kontakt med andra specificerade giftiga djur-institutionellt boende-andra aktiviteter
x2719	X27.19 - Kontakt med andra specificerade giftiga djur-institutionellt boende-ospec aktiviteter
x2720	X27.20 - Kontakt med andra specificerade giftiga djur-skola, offentlig lokal-idrott
x2721	X27.21 - Kontakt med andra specificerade giftiga djur-skola, offentlig lokal-lek,fritid
x2722	X27.22 - Kontakt med andra specificerade giftiga djur-skola, offentlig lokal-förvärvsarbete
x2723	X27.23 - Kontakt med andra specificerade giftiga djur-skola, offentlig lokal-annan sysselsättning
x2724	X27.24 - Kontakt med andra specificerade giftiga djur-skola, offentlig lokal-vitalaktivitet
x2728	X27.28 - Kontakt med andra specificerade giftiga djur-skola, offentlig lokal-andra aktiviteter
x2729	X27.29 - Kontakt med andra specificerade giftiga djur-skola, offentlig lokal-ospec aktiviteter
x2730	X27.30 - Kontakt med andra specificerade giftiga djur-idrottsanläggning-idrott
x2731	X27.31 - Kontakt med andra specificerade giftiga djur-idrottsanläggning-lek,fritid
x2732	X27.32 - Kontakt med andra specificerade giftiga djur-idrottsanläggning-förvärvsarbete
x2733	X27.33 - Kontakt med andra specificerade giftiga djur-idrottsanläggning-annan sysselsättning
x2734	X27.34 - Kontakt med andra specificerade giftiga djur-idrottsanläggning-vitalaktivitet
x2738	X27.38 - Kontakt med andra specificerade giftiga djur-idrottsanläggning-andra aktiviteter
x2739	X27.39 - Kontakt med andra specificerade giftiga djur-idrottsanläggning-ospec aktiviteter
x2740	X27.40 - Kontakt med andra specificerade giftiga djur-gata-idrott
x2741	X27.41 - Kontakt med andra specificerade giftiga djur-gata-lek,fritid
x2742	X27.42 - Kontakt med andra specificerade giftiga djur-gata-förvärvsarbete
x2743	X27.43 - Kontakt med andra specificerade giftiga djur-gata-annan sysselsättning
x2744	X27.44 - Kontakt med andra specificerade giftiga djur-gata-vitalaktivitet
x2748	X27.48 - Kontakt med andra specificerade giftiga djur-gata-andra aktiviteter
